year,variableA,variableB,variableC,variableD,variableE,variableF
2017-03-26,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-26,42.08798,52.08815,47.20525,36.97071,57.57109,46.60522
2017-03-27,41.03792,52.65294,46.03124,36.0446,58.45473,46.85114
2017-03-27,44.28436,50.60625,49.65789,38.91082,55.98377,45.22873
2017-03-27,41.81089,52.25573,47.05198,36.56979,57.78765,46.7238
2017-03-28,43.37658,51.31355,48.56889,38.18426,56.60413,46.02298
2017-03-28,40.6702,52.81675,45.40951,35.93089,58.3959,47.2376
2017-03-28,41.55795,52.38742,46.62505,36.49085,57.79079,46.98404
2017-03-29,43.23234,51.65588,48.12896,38.33572,56.73108,46.58068
2017-03-29,40.54865,52.65205,45.12926,35.96804,58.12233,47.18176
2017-03-29,41.20364,52.53189,46.0816,36.32568,57.80197,47.26182
2017-03-30,42.78091,51.80407,47.72739,37.83444,56.74441,46.86372
2017-03-30,40.11081,54.028,44.79861,35.42301,59.98937,48.06663
2017-03-30,40.63618,53.55639,45.51982,35.75254,59.13385,47.97892
2017-03-31,40.448,53.2771,45.17403,35.72196,59.34482,47.20937
2017-03-31,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-03-31,40.48179,53.06938,45.32975,35.63383,58.63694,47.50181
2017-04-01,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-01,40.55445,53.32457,45.26672,35.84218,59.41961,47.22953
2017-04-01,40.54905,53.0927,45.38779,35.7103,58.68511,47.50028
2017-04-02,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-02,40.39359,53.45893,45.16575,35.62142,59.59847,47.31939
2017-04-02,40.44848,53.17198,45.32938,35.56758,58.80313,47.54082
2017-04-03,39.61414,53.89282,44.69081,34.53746,59.91079,47.87486
2017-04-03,41.49263,52.28128,46.54613,36.43912,57.25156,47.311
2017-04-03,39.84783,53.59146,44.92455,34.77111,59.18995,47.99298
2017-04-04,40.50948,53.39999,45.69217,35.32678,59.1553,47.64467
2017-04-04,41.28366,52.73132,46.88392,35.6834,57.75137,47.71127
2017-04-04,40.01525,53.67127,45.26242,34.76808,59.05883,48.2837
2017-04-05,41.72259,52.42102,47.24487,36.20031,57.31507,47.52696
2017-04-05,40.98213,52.87018,45.88659,36.07767,58.4521,47.28827
2017-04-05,40.66016,53.16607,45.7916,35.52871,58.42831,47.90383
2017-04-06,40.51774,53.72948,45.51066,35.52483,59.73963,47.71933
2017-04-06,41.74047,52.44887,47.29905,36.1819,57.36218,47.53556
2017-04-06,40.41075,53.69882,45.60198,35.21951,59.2783,48.11934
2017-04-07,40.42915,54.0258,45.2564,35.60189,59.83382,48.21779
2017-04-07,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-07,40.38835,53.89001,45.4526,35.32409,59.34081,48.43921
2017-04-08,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-08,40.44548,53.98016,45.27812,35.61284,59.79935,48.16096
2017-04-08,40.40128,53.86125,45.47359,35.32896,59.32256,48.39995
2017-04-09,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-09,40.46673,53.93581,45.30285,35.63061,59.76171,48.10991
2017-04-09,40.41701,53.82942,45.49614,35.33789,59.29893,48.35992
2017-04-10,41.39298,52.95179,46.71243,36.07354,57.82961,48.07397
2017-04-10,41.15395,52.99094,45.86559,36.44231,58.75322,47.22866
2017-04-10,40.87731,53.21894,45.83553,35.91909,58.66856,47.76932
2017-04-11,41.84169,52.17405,46.86845,36.81492,58.11969,46.22842
2017-04-11,42.56668,51.78368,48.27353,36.85984,56.98209,46.58527
2017-04-11,41.51326,52.52065,46.72686,36.29965,58.12492,46.91638
2017-04-12,42.83318,51.76783,48.376,37.29036,56.88817,46.64748
2017-04-12,41.62653,52.25298,46.5685,36.68455,58.06441,46.44155
2017-04-12,41.64417,52.36113,46.87432,36.41402,57.88984,46.83242
2017-04-13,42.90318,51.71242,48.45972,37.34663,56.7949,46.62994
2017-04-13,41.22889,52.85146,46.25507,36.20272,58.95934,46.74358
2017-04-13,41.44421,52.70598,46.76628,36.12213,58.45796,46.95399
2017-04-14,41.0928,52.42646,46.019,36.16659,58.40254,46.45038
2017-04-14,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-14,41.27088,51.87616,46.42637,36.11538,57.45,46.30231
2017-04-15,41.01736,52.42741,45.97337,36.06135,58.41444,46.44038
2017-04-15,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-15,41.23275,51.88008,46.41501,36.0505,57.46936,46.2908
2017-04-16,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-16,41.17042,52.25262,46.12373,36.21711,58.22296,46.28227
2017-04-16,41.34031,51.77214,46.52293,36.1577,57.3511,46.19318
2017-04-17,41.29482,52.09627,46.21842,36.37123,57.79642,46.39611
2017-04-17,43.4188,50.35167,48.84432,37.99329,55.01369,45.68964
2017-04-17,41.62966,51.48813,46.85859,36.40073,56.89203,46.08422
2017-04-18,41.32755,51.95232,46.28143,36.37368,57.66853,46.23611
2017-04-18,43.50145,50.31609,48.9874,38.01551,54.99622,45.63595
2017-04-18,41.70159,51.38246,46.99654,36.40664,56.7924,45.97252
2017-04-19,44.00313,50.52559,49.2343,38.77197,54.88184,46.16934
2017-04-19,41.10365,52.49113,45.66794,36.53936,57.87409,47.10818
2017-04-19,41.92009,51.80953,47.03592,36.80427,56.86413,46.75493
2017-04-20,44.05973,50.58625,49.1797,38.93976,55.20732,45.96517
2017-04-20,40.81158,52.93252,45.62248,36.00069,58.88656,46.97849
2017-04-20,42.02447,52.04146,47.19346,36.85548,57.51389,46.56903
2017-04-21,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-21,40.72075,53.3662,45.46203,35.97947,59.12423,47.60818
2017-04-21,41.89439,52.33761,47.02298,36.7658,57.71827,46.95695
2017-04-22,40.71088,53.36101,45.44498,35.97677,59.11146,47.61056
2017-04-22,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-22,41.88213,52.33886,47.01614,36.74812,57.71994,46.95778
2017-04-23,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-23,40.62176,53.92823,45.03156,36.21197,59.21482,48.64163
2017-04-23,41.63386,52.87494,46.54868,36.71904,57.99485,47.75502
2017-04-24,44.23955,50.40123,49.54624,38.93287,55.07882,45.72365
2017-04-24,40.60334,53.91079,45.012,36.19468,59.18217,48.6394
2017-04-24,41.76186,52.74255,46.79366,36.73006,57.86912,47.61599
2017-04-25,40.30374,54.23236,44.60197,36.00551,59.40096,49.06376
2017-04-25,43.502,50.69404,48.45667,38.54732,55.25338,46.13471
2017-04-25,41.42433,52.85545,46.19313,36.65553,57.87822,47.83269
2017-04-26,40.71889,53.70636,44.81233,36.62546,58.5398,48.87291
2017-04-26,44.06063,50.11729,48.8275,39.29377,54.70171,45.53288
2017-04-26,41.98724,52.19347,46.71743,37.25704,57.10226,47.28468
2017-04-27,43.94151,50.25742,48.69866,39.18437,54.9077,45.60715
2017-04-27,41.19462,53.62363,45.27081,37.11842,58.3029,48.94435
2017-04-27,42.1408,52.32465,46.77888,37.50272,57.1571,47.4922
2017-04-28,40.96248,54.07797,45.51542,36.40953,59.50538,48.65056
2017-04-28,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-28,41.9548,52.67693,46.88246,37.02715,58.03936,47.31449
2017-04-29,41.04478,53.89684,45.61719,36.47237,59.35752,48.43616
2017-04-29,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-29,41.99678,52.56797,46.93359,37.05997,57.95444,47.1815
2017-04-30,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
