date,close
22-Aug-17,39
24-Aug-17,39
23-Aug-17,35.9
23-Aug-17,42
24-Aug-17,35.5
23-Aug-17,34
24-Aug-17,42
24-Aug-17,34
25-Aug-17,35.4
25-Aug-17,35
26-Aug-17,36.1
27-Aug-17,36
27-Aug-17,42
26-Aug-17,35
28-Aug-17,41
28-Aug-17,48
28-Aug-17,40
27-Aug-17,35
28-Aug-17,36.6
29-Aug-17,39
31-Aug-17,38
29-Aug-17,36.7
28-Aug-17,35
29-Aug-17,41
29-Aug-17,35
29-Aug-17,38
29-Aug-17,41
31-Aug-17,40
30-Aug-17,37.6
30-Aug-17,41
31-Aug-17,38.1
30-Aug-17,34
1-Sep-17,37.9
31-Aug-17,42
31-Aug-17,34
1-Sep-17,34
2-Sep-17,37.6
2-Sep-17,36
3-Sep-17,43
3-Sep-17,38.2
3-Sep-17,38
4-Sep-17,39.1
3-Sep-17,43
4-Sep-17,44
5-Sep-17,39.7
4-Sep-17,37
5-Sep-17,37
7-Sep-17,40
5-Sep-17,45
5-Sep-17,41
6-Sep-17,41
7-Sep-17,40.9
6-Sep-17,45
6-Sep-17,36
7-Sep-17,36
8-Sep-17,39.6
7-Sep-17,46
8-Sep-17,38
9-Sep-17,38.7
10-Sep-17,44
9-Sep-17,38
10-Sep-17,36.7
9-Sep-17,43
10-Sep-17,38
11-Sep-17,44
11-Sep-17,35.3
11-Sep-17,42
12-Sep-17,34.7
11-Sep-17,37
13-Sep-17,35.3
12-Sep-17,37
12-Sep-17,42
14-Sep-17,43
12-Sep-17,39
13-Sep-17,37
13-Sep-17,39
13-Sep-17,44
12-Sep-17,34.5
14-Sep-17,36.8
14-Sep-17,43
15-Sep-17,38.4
14-Sep-17,37
14-Sep-17,41
14-Sep-17,40
16-Sep-17,42.8
15-Sep-17,36
16-Sep-17,39.5
16-Sep-17,38
17-Sep-17,39.4
17-Sep-17,44
18-Sep-17,38
17-Sep-17,38
17-Sep-17,43
18-Sep-17,37.5
18-Sep-17,43
18-Sep-17,43
19-Sep-17,40
18-Sep-17,38
19-Sep-17,39
19-Sep-17,42
21-Sep-17,45
19-Sep-17,39
20-Sep-17,38.2
19-Sep-17,39
20-Sep-17,43
20-Sep-17,35
20-Sep-17,37
21-Sep-17,38.3
20-Sep-17,40
20-Sep-17,45
22-Sep-17,38.3
21-Sep-17,38
20-Sep-17,38.21
21-Sep-17,39
21-Sep-17,43
21-Sep-17,42
23-Sep-17,38.6
22-Sep-17,37
24-Sep-17,44
24-Sep-17,37.8
23-Sep-17,40
30-Sep-17,36
24-Sep-17,35
24-Sep-17,43
25-Sep-17,38.4
25-Sep-17,42
24-Sep-17,39
26-Sep-17,37.7
25-Sep-17,39
25-Sep-17,42
26-Sep-17,36
26-Sep-17,37
27-Sep-17,37.5
28-Sep-17,40
26-Sep-17,42
26-Sep-17,37
26-Sep-17,43
27-Sep-17,36
28-Sep-17,38.1
27-Sep-17,43
27-Sep-17,37
28-Sep-17,45
28-Sep-17,37
27-Sep-17,34.57
29-Sep-17,38.3
28-Sep-17,37
30-Sep-17,37.9
29-Sep-17,37
1-Oct-17,37.7
1-Oct-17,38.6
1-Oct-17,42
30-Sep-17,38
2-Oct-17,39
2-Oct-17,32
1-Oct-17,37
2-Oct-17,42
1-Oct-17,45
2-Oct-17,38
3-Oct-17,37.3
3-Oct-17,39
3-Oct-17,44
3-Oct-17,39
4-Oct-17,36.4
4-Oct-17,41
5-Oct-17,35.6
4-Oct-17,39
4-Oct-17,45
5-Oct-17,39
4-Oct-17,36.2
8-Oct-17,33
5-Oct-17,46
6-Oct-17,36
6-Oct-17,39
7-Oct-17,35.2
7-Oct-17,38
8-Oct-17,44
8-Oct-17,35.4
9-Oct-17,36
9-Oct-17,42
8-Oct-17,37
9-Oct-17,43
10-Oct-17,38
15-Oct-17,36
10-Oct-17,38
10-Oct-17,36.9
9-Oct-17,36
11-Oct-17,41
10-Oct-17,37
10-Oct-17,36
11-Oct-17,36.2
10-Oct-17,43
12-Oct-17,35.9
11-Oct-17,44
11-Oct-17,37
12-Oct-17,43
11-Oct-17,33.53
13-Oct-17,36.7
12-Oct-17,39
13-Oct-17,38
14-Oct-17,37.5
14-Oct-17,47
15-Oct-17,37.4
14-Oct-17,38
15-Oct-17,43
16-Oct-17,44
16-Oct-17,37.2
15-Oct-17,37
15-Oct-17,36
16-Oct-17,41
15-Oct-17,44.1
18-Oct-17,39
17-Oct-17,37.8
16-Oct-17,37
17-Oct-17,36
17-Oct-17,37
16-Oct-17,37
17-Oct-17,43
18-Oct-17,37.5
18-Oct-17,42
19-Oct-17,36.7
18-Oct-17,36
18-Oct-17,41
19-Oct-17,35
19-Oct-17,43
20-Oct-17,36.7
18-Oct-17,33.74
20-Oct-17,36
21-Oct-17,36.1
20-Oct-17,34
22-Oct-17,35.5
22-Oct-17,41
21-Oct-17,36
23-Oct-17,42
23-Oct-17,35
23-Oct-17,43
22-Oct-17,36
23-Oct-17,36
25-Oct-17,44
24-Oct-17,34.6
25-Oct-17,39
25-Oct-17,34.7
24-Oct-17,36
24-Oct-17,42
24-Oct-17,37
24-Oct-17,38
25-Oct-17,43
30-Oct-17,41
25-Oct-17,37
26-Oct-17,35.1
25-Oct-17,37.02
26-Oct-17,43
26-Oct-17,38
26-Oct-17,36
27-Oct-17,36.4
28-Oct-17,37.3
27-Oct-17,36
28-Oct-17,35
29-Oct-17,44
29-Oct-17,36.4
30-Oct-17,36.2
29-Oct-17,38
30-Oct-17,34
30-Oct-17,44
29-Oct-17,33
30-Oct-17,44
30-Oct-17,39
1-Nov-17,41
31-Oct-17,36.2
30-Oct-17,34
31-Oct-17,43
3-Nov-17,36
31-Oct-17,40
31-Oct-17,35
1-Nov-17,36.2
2-Nov-17,35
1-Nov-17,37
1-Nov-17,38
1-Nov-17,43
2-Nov-17,43
2-Nov-17,39
3-Nov-17,36.4
1-Nov-17,36.99
3-Nov-17,39
4-Nov-17,35
5-Nov-17,35.8
5-Nov-17,44
4-Nov-17,37
6-Nov-17,43
5-Nov-17,36
5-Nov-17,37
6-Nov-17,44
6-Nov-17,35.9
6-Nov-17,37
7-Nov-17,34.8
8-Nov-17,41
7-Nov-17,38
8-Nov-17,35.6
7-Nov-17,42
7-Nov-17,37
